Specification,ErpId,TaxRateCd,StorageModeName,,Unit,Name,BasicUnitCd,,SupplierName,Id,SupplierCd,Cd,ConversionNumerator,ConversionDenominator,TargetUnit,BackgroundClassificationId,ShowUnitName,BackgroundClassificationName,TaxRateName,,BasicUnitName,,SupplierId,SalesUnitName,SalesUnitCd
100支*40包/箱,166401,SL07_SYS,干货,,包,PLA可降解吸管23cm*1.2cm-100支,2,,四川寒容达贸易有限公司,001d3265-bdcd-456c-96bb-51bb17d5d609,207,280401263,1,1,2,2804,包,易耗用品,3%增值税,,包,,da1413ba-0221-4656-bfff-ec7dceaf47cd,包,2
500g/袋,161385,SL07_SYS,干货,,袋,孜然粉500g,4,,四川寒容达贸易有限公司,003b3384-e1ff-46ea-81be-e92a85b51117,207,240300421,1,1,4,2403,袋,香辛料,3%增值税,,袋,,da1413ba-0221-4656-bfff-ec7dceaf47cd,袋,4
XXL,114437,SL07_SYS,干货,,套,蜀大侠保洁服(夏装) XXL,14,,四川寒容达贸易有限公司,0045965d-594f-442d-a412-678cc4bd556c,207,280200116,1,1,14,2802,套,服装服饰,3%增值税,,套,,da1413ba-0221-4656-bfff-ec7dceaf47cd,套,14
M,161619,SL07_SYS,干货,,套,小龙坎管理西服套装男 冬M(上衣+裤子+衬衣),14,,四川寒容达贸易有限公司,0002f22b-7e41-4b28-b833-70f2c3cf8060,207,280201150,1,1,14,2802,套,服装服饰,3%增值税,,套,,da1413ba-0221-4656-bfff-ec7dceaf47cd,套,14
20支*10把*10袋/箱,115868,SL63_SYS,冻货,,10袋/箱,自然馋把把串-真牛肉(2000支),4,,四川煮饭自然馋贸易有限公司,0036c254-5370-46c7-9a16-ebb27964811e,208,201100057,1,1,4,2011,箱,小吃,9%增值税,,袋,,5e30996b-ec2a-4410-a317-c64856a48b2e,10袋/箱,10袋/箱
500个/箱,114783,SL07_SYS,干货,,500个/箱,350Ml-115M-冒大仙定制金碗(小)-500个,6,,四川寒容达贸易有限公司,008abec5-fb49-48b0-89b2-dd783da975f1,207,280400118,1,1,6,2804,箱,易耗用品,3%增值税,,个,,da1413ba-0221-4656-bfff-ec7dceaf47cd,500个/箱,500个/箱
50*30*10cm,161812,SL02_SYS,干货,,个,蓝色塑胶托盘地垫50cm*30cm*10cm,6,,四川煮饭自然馋贸易有限公司,004c7edf-b003-4618-9004-4ca863469a4d,208,280400833,1,1,6,2804,个,易耗用品,13%增值税,,个,,5e30996b-ec2a-4410-a317-c64856a48b2e,个,6
1kg*10袋/箱,164531,SL02_SYS,干货,,10袋/箱,冒大仙麻辣烫红油1kg*10,4,,四川君乐天达贸易有限公司,00088713-9a79-4593-a620-9e334792fe9d,206,210100059,1,1,4,2101,箱,品牌方底料,13%增值税,,袋,,2aa441fa-acb0-4636-9c7a-078884c96df3,10袋/箱,10袋/箱
1,115478,SL07_SYS,干货,,台,卧式冻柜1.8米,13,,四川群蓉达贸易有限公司,01b1ba81-235c-4dbd-9ade-a7bf1cdecb68,201,270100019,1,1,13,2701,台,厨房设备,3%增值税,,台,,d2092eb5-1736-4cd7-85b3-43a379b38ff1,台,13
1kg*20袋/箱,115161,SL02_SYS,干货,,20袋/箱,左四吹烧菜调味料1kg*20,4,,四川君乐天达贸易有限公司,00c1092f-0caf-4ed0-b8bd-be5627446049,206,230200018,1,1,4,2302,箱,拌料,13%增值税,,袋,,2aa441fa-acb0-4636-9c7a-078884c96df3,20袋/箱,20袋/箱
150g*50袋/箱,114052,SL07_SYS,冻货,,50袋/箱,傣味鱼皮(样品),4,,四川寒容达贸易有限公司,053410cb-b382-47a0-aa71-b1782a4f40e5,207,200700035,1,1,4,2007,箱,江河湖海,3%增值税,,袋,,da1413ba-0221-4656-bfff-ec7dceaf47cd,50袋/箱,50袋/箱
500个/件,116006,SL02_SYS,干货,,500个/件,开心牛肉小卡片-500个,6,,四川煮饭自然馋贸易有限公司,00da5245-240b-4be9-b7c6-3a794d13dbe0,208,280400095,1,1,6,2804,件,易耗用品,13%增值税,,个,,5e30996b-ec2a-4410-a317-c64856a48b2e,500个/件,500个/件
含下排烟系统，过滤网，熄火保护燃气灶，管道风机，一键式开关，接油盒含下排烟系统，过滤网，熄火保护燃气灶，管道风机，一键式开关，接油盒,115499,SL07_SYS,干货,,台,大侠-无烟地排设备(燃气),13,,四川群蓉达贸易有限公司,003dcfe1-deb6-4f63-b535-874b0c32164d,201,270500024,1,1,13,2705,台,工器炉具,3%增值税,,台,,d2092eb5-1736-4cd7-85b3-43a379b38ff1,台,13
1kg*12袋/箱,114003,SL07_SYS,冻货,,12袋/箱,鸭舌L号1kg*12(深圳),4,,四川寒容达贸易有限公司,00a6d216-d963-426c-8eba-33e45385f76c,207,200300027,1,1,4,2003,箱,禽肉,3%增值税,,袋,,da1413ba-0221-4656-bfff-ec7dceaf47cd,12袋/箱,12袋/箱
7.5*5.6cm(48个*4盒/箱),115926,SL02_SYS,干货,,个,大侠-密胺茶杯(3.0)7.5cm*5.6cm,6,,四川煮饭自然馋贸易有限公司,008715f3-0ba3-46cc-9e2e-9bb01ef79ba3,208,280300093,1,1,6,2803,个,餐具,13%增值税,,个,,5e30996b-ec2a-4410-a317-c64856a48b2e,个,6
XL,162954,SL07_SYS,干货,,件,小龙坎男服务员冬装新款XL,21,,四川寒容达贸易有限公司,000b328c-dce7-4158-8800-f0e4fd8b4945,207,280200403,1,1,21,2802,件,服装服饰,3%增值税,,件,,da1413ba-0221-4656-bfff-ec7dceaf47cd,件,21
XL,114355,SL07_SYS,干货,,件,2021年易园侠客风女士夏装短袖XL(整套),21,,四川寒容达贸易有限公司,01d28752-2830-483d-8662-58bee2091658,207,280200035,1,1,21,2802,件,服装服饰,3%增值税,,件,,da1413ba-0221-4656-bfff-ec7dceaf47cd,件,21
常规玻璃,114216,SL07_SYS,干货,,个,白酒杯(统采),6,,四川寒容达贸易有限公司,023ed9db-0014-466e-b234-323f7671bf30,207,280100041,1,1,6,2801,个,餐厨用具,3%增值税,,个,,da1413ba-0221-4656-bfff-ec7dceaf47cd,个,6
23.8*23.8*4.5m(15个*4盒/箱),115957,SL02_SYS,干货,,个,牛肉斜盘(3.0),6,,四川煮饭自然馋贸易有限公司,056408dc-c49e-4ae4-b31f-abac4e5daa52,208,280300150,1,1,6,2803,个,餐具,13%增值税,,个,,5e30996b-ec2a-4410-a317-c64856a48b2e,个,6
1,114999,SL07_SYS,干货,,个,醉码头锅圈(天然气专用),6,,四川寒容达贸易有限公司,01487c41-8fd2-4410-961c-9ba09825c8e9,207,280700023,1,1,6,2807,个,五金杂件,3%增值税,,个,,da1413ba-0221-4656-bfff-ec7dceaf47cd,个,6
20*20*4.2mm（15个*4盒/箱）,115989,SL02_SYS,干货,,个,圆盘(3.0),6,,四川煮饭自然馋贸易有限公司,01003f0b-14e2-49ec-927a-66980417bb57,208,280300192,1,1,6,2803,个,餐具,13%增值税,,个,,5e30996b-ec2a-4410-a317-c64856a48b2e,个,6
"高度1500*直径380mm,3个/串,总功率21W",170256,SL02_SYS,干货,,串,1.5/2.0门头灯 3个/串,串,,四川煮饭自然馋贸易有限公司,00ff4d5a-126b-4369-b2cc-361a6ef1a0cd,208,260100188,1,1,串,2601,串,定制软装,13%增值税,,串,,5e30996b-ec2a-4410-a317-c64856a48b2e,串,串
1kg*10袋/箱,115639,SL02_SYS,冻货,,10袋/箱,藤椒鸡尖1kg*10,4,,四川煮饭自然馋贸易有限公司,00b6a1f3-20fb-4135-97e6-fbc8d8d715e8,208,200300023,1,1,4,2003,箱,禽肉,13%增值税,,袋,,5e30996b-ec2a-4410-a317-c64856a48b2e,10袋/箱,10袋/箱
200g*28袋/箱,115780,SL63_SYS,干货,,28袋/箱,纯米鲜米粉200g*28,4,,四川煮饭自然馋贸易有限公司,00294328-043c-46bc-8c1a-af68dca1f9a5,208,200900006,1,1,4,2011,箱,小吃,9%增值税,,袋,,5e30996b-ec2a-4410-a317-c64856a48b2e,28袋/箱,28袋/箱
24瓶/箱,114799,SL07_SYS,干货,,瓶,杀虫剂600ml(统采),11,,四川寒容达贸易有限公司,01f35f06-bdc9-4c79-ad56-89a4feec3f89,207,280400141,1,1,11,2804,瓶,易耗用品,3%增值税,,瓶,,da1413ba-0221-4656-bfff-ec7dceaf47cd,瓶,11
200g*40袋/箱,115057,SL02_SYS,干货,,40袋/箱,自然馋牛油火锅底料200g*40,4,,四川君乐天达贸易有限公司,0335816e-c61f-4c6a-9376-b2b8eb626254,206,220100010,1,1,4,2201,箱,牛油底料,13%增值税,,袋,,2aa441fa-acb0-4636-9c7a-078884c96df3,40袋/箱,40袋/箱
9kg/箱,114000,SL07_SYS,冻货,,9千克/箱,隆泰单冻大胸(鸡大胸)9kg(深圳),23,,四川寒容达贸易有限公司,05cd4c2d-e16a-4466-b2d8-568ba3de9358,207,200300012,1,1,23,2003,箱,禽肉,3%增值税,,千克,,da1413ba-0221-4656-bfff-ec7dceaf47cd,9千克/箱,9千克/箱
L,163834,SL02_SYS,干货,,件,2.0小龙坎红色烫金T恤L,21,,四川煮饭自然馋贸易有限公司,016a9001-dc13-4abb-8867-85963ca94cb0,208,280201235,1,1,21,2802,件,服装服饰,13%增值税,,件,,5e30996b-ec2a-4410-a317-c64856a48b2e,件,21
100kg,114256,SL07_SYS,干货,,台,地秤(统采),13,,四川寒容达贸易有限公司,010a1b8a-80cf-453e-b7d4-5a7c14e4f633,207,280100089,1,1,13,2801,台,餐厨用具,3%增值税,,台,,da1413ba-0221-4656-bfff-ec7dceaf47cd,台,13
55L/44*32*72cm,114911,SL07_SYS,干货,,个,弹盖垃圾桶55L(统采),6,,四川寒容达贸易有限公司,018f76bd-5dd9-4d47-b092-a4075329dc9d,207,280500014,1,1,6,2805,个,清洁工具,3%增值税,,个,,da1413ba-0221-4656-bfff-ec7dceaf47cd,个,6
直径50cm,114203,SL07_SYS,干货,,个,50不锈钢桶(统采),6,,四川寒容达贸易有限公司,010e1287-466b-40ec-b980-09b3cb68b87e,207,280100027,1,1,6,2801,个,餐厨用具,3%增值税,,个,,da1413ba-0221-4656-bfff-ec7dceaf47cd,个,6
1,114412,SL07_SYS,干货,,件,吃城都前厅黑色围裙,21,,四川寒容达贸易有限公司,00726e13-6331-4aba-ac37-6d06f62b2684,207,280200091,1,1,21,2802,件,服装服饰,3%增值税,,件,,da1413ba-0221-4656-bfff-ec7dceaf47cd,件,21
M,114490,SL07_SYS,干货,,套,侠客风格-厨师长三件套-冬装M,14,,四川寒容达贸易有限公司,026a9acf-57aa-4403-9fe4-6bdc280a82da,207,280200170,1,1,14,2802,套,服装服饰,3%增值税,,套,,da1413ba-0221-4656-bfff-ec7dceaf47cd,套,14
直径20cm,161097,SL07_SYS,干货,,个,不锈钢圆盘20cm,6,,四川寒容达贸易有限公司,035a598e-5ec6-4fbf-95a1-f24cba2f6b2f,207,280300255,1,1,6,2803,个,餐具,3%增值税,,个,,da1413ba-0221-4656-bfff-ec7dceaf47cd,个,6
60cm,114296,SL07_SYS,干货,,个,铁火钳60cm(统采),6,,四川寒容达贸易有限公司,06b94ec6-9a4f-4494-bb84-624604699c2e,207,280100138,1,1,6,2801,个,餐厨用具,3%增值税,,个,,da1413ba-0221-4656-bfff-ec7dceaf47cd,个,6
50L,115898,SL07_SYS,干货,,个,吊汤炉50L(统采),6,,四川群蓉达贸易有限公司,01e1c4f0-31f8-4877-8dab-7c3e4f81500c,201,270100009,1,1,6,2701,个,厨房设备,3%增值税,,个,,d2092eb5-1736-4cd7-85b3-43a379b38ff1,个,6
内径40cm，龙头把手,163470,SL02_SYS,干货,,个,2.0全铜鸳鸯锅(电磁炉版)40,6,,四川寒容达贸易有限公司,02275c84-3350-404e-b450-3097cab1c684,207,270500099,1,1,6,2705,个,工器炉具,13%增值税,,个,,da1413ba-0221-4656-bfff-ec7dceaf47cd,个,6
 ,170089,SL07_SYS,干货,,个,2.0服务员刺绣腰包,6,,四川寒容达贸易有限公司,024994dc-075f-4904-be09-7ea1da6bad72,207,280400523,1,1,6,2804,个,易耗用品,3%增值税,,个,,da1413ba-0221-4656-bfff-ec7dceaf47cd,个,6
 ,161875,SL02_SYS,干货,,个,候位小吃产品碟,6,,四川煮饭自然馋贸易有限公司,013f6a0a-8b16-4ee8-8f04-bfdeba1e2b75,208,280100776,1,1,6,2801,个,餐厨用具,13%增值税,,个,,5e30996b-ec2a-4410-a317-c64856a48b2e,个,6
2.4m*60cm,149978,SL07_SYS,干货,,个,牌匾：总有一天你会来吃2.4m*60cm,6,,四川寒容达贸易有限公司,00e87c57-fd9b-487b-bed6-3ec1b5ebb990,207,260100523,1,1,6,2601,个,定制软装,3%增值税,,个,,da1413ba-0221-4656-bfff-ec7dceaf47cd,个,6
13*15cm(4个*4盒/箱),115984,SL02_SYS,干货,,个,小郡肝串串盅(3.0),6,,四川煮饭自然馋贸易有限公司,028f37ef-f360-4b29-9342-72b082dbcc7f,208,280300186,1,1,6,2803,个,餐具,13%增值税,,个,,5e30996b-ec2a-4410-a317-c64856a48b2e,个,6
35L/38*27*58cm,114910,SL07_SYS,干货,,个,弹盖垃圾桶35L(统采),6,,四川寒容达贸易有限公司,03a9b5b0-11c1-415c-b7b6-279a1870c8cd,207,280500013,1,1,6,2805,个,清洁工具,3%增值税,,个,,da1413ba-0221-4656-bfff-ec7dceaf47cd,个,6
150g*50袋/件,161334,SL07_SYS,干货,,24袋/件,孔师傅麻辣蒸肉米粉150g*50,4,,四川寒容达贸易有限公司,071c41d7-e8a4-4dd4-a2be-fbee45a02cd5,207,240600504,1,1,4,2406,件,干杂,3%增值税,,袋,,da1413ba-0221-4656-bfff-ec7dceaf47cd,24袋/件,24袋/件
