时间,店名,产品,个数
2022/7/12,阿坝州阿坝县藏家一号店,模拟蟹柳500g*20,2
2022/7/12,阿坝州阿坝县藏家一号店,自然馋手工糍粑280g*20,3
2022/7/12,阿坝州阿坝县藏家一号店,自然馋黑鱼片500g*20,1
2022/7/12,阿坝州阿坝县藏家一号店,大侠贡菜肉滑1kg*10,1
2022/7/12,阿坝州阿坝县藏家一号店,八奇牛嫩牛肉1.2kg*10,1
2022/7/12,阿坝州阿坝县藏家一号店,千喜鹤猪脑花(96个),2
2022/7/12,阿坝州阿坝县藏家一号店,自然馋麻辣排骨1.2kg*8,1
2022/7/12,阿坝州阿坝县藏家一号店,八奇牛麻辣牛肉1.2kg*10,1
2022/7/12,阿坝州阿坝县藏家一号店,自然馋严选千层肚1kg*10,6
2022/7/12,阿坝州阿坝县藏家一号店,玖嘉久鱼籽福袋1kg*6,1
2022/7/12,阿坝州阿坝县藏家一号店,爆爆滑黑虎虾滑500g*20,1
2022/7/12,阿坝州阿坝县藏家一号店,蜀大侠牛油火锅底料1.75kg*10(大红锅流通版),8
2022/7/12,阿坝州阿坝县藏家一号店,蜀大侠干碟包10g*720,1
2022/7/12,阿坝州阿坝县藏家一号店,蜀大侠食用植物调和油65ml*200,2
2022/7/12,阿坝州阿坝县藏家一号店,蜀大侠牛油火锅底料1.4kg*14(锅中锅流通版),8
2022/7/12,阿坝州阿坝县藏家一号店,蜀大侠牛油火锅底料1.9kg*10（大红锅升级版2.0）,6
2022/7/12,阿坝州阿坝县藏家一号店,蜀大侠番茄汤膏200g*50,3
2022/7/12,阿坝州阿坝县藏家一号店,蜀大侠菌汤膏100g*100,2
2022/7/12,阿坝州阿坝县藏家一号店,蜀大侠复合调味粉100g*90,2
2022/7/12,阿坝州阿坝县藏家一号店,干辣椒-红太阳12.5kg,1
2022/7/12,阿坝州阿坝县藏家一号店,蜀大侠火锅伴侣牛油100g*120,2
2022/7/12,阿坝州阿坝县藏家一号店,蜀大侠侠客打锅牛油80*108,4
2022/7/12,阿坝州阿坝县藏家一号店,自然馋黑土猪火锅午餐肉340g*24,1
2022/7/12,阿坝州阿坝县藏家一号店,自然馋火锅川粉180g*50,4
2022/7/12,阿坝州阿坝县藏家一号店,干辣椒-满天星12kg,1
2022/7/12,阿坝州阿坝县藏家一号店,蜀大侠辣椒面2.5kg*6,1
2022/7/25,阿坝州阿坝县藏家一号店,自然馋嫩滑猪肝(椒麻味)1kg*10,1
2022/7/25,阿坝州阿坝县藏家一号店,玖嘉久鱼籽福袋1kg*6,1
2022/7/25,阿坝州阿坝县藏家一号店,爆爆滑大颗粒虾滑1kg*12,2
2022/7/25,阿坝州阿坝县藏家一号店,大侠贡菜肉滑1kg*10,1
2022/7/17,阿坝州阿坝县藏家一号店,蜀大侠食用植物调和油65ml*200,10
2022/7/17,阿坝州阿坝县藏家一号店,一次性独立包装火锅筷32cm-1400双,4
2022/7/19,阿坝州阿坝县藏家一号店,自然馋嫩滑猪肝(椒麻味)1kg*10,3
2022/7/19,阿坝州阿坝县藏家一号店,八奇牛嫩牛肉1.2kg*10,1
2022/7/19,阿坝州阿坝县藏家一号店,自然馋麻辣小郡肝1kg*12(蓝标),1
2022/7/19,阿坝州阿坝县藏家一号店,自然馋严选千层肚1kg*10,4
2022/7/19,阿坝州阿坝县藏家一号店,爆爆滑黑虎虾滑500g*20,1
2022/7/19,阿坝州阿坝县藏家一号店,八奇牛青花椒味火锅牛排1kg*12,1
2022/7/19,阿坝州阿坝县藏家一号店,潮禧汕头牛肉丸AAA特级500g*20,1
2022/7/19,阿坝州阿坝县藏家一号店,自然馋黑鱼片500g*20,1
2022/7/19,阿坝州阿坝县藏家一号店,模拟蟹柳500g*20,1
2022/7/19,阿坝州阿坝县藏家一号店,爆爆滑大颗粒虾滑1kg*12,1
2022/7/19,阿坝州阿坝县藏家一号店,自然馋甄选脆毛肚1kg*10,4
2022/7/19,阿坝州阿坝县藏家一号店,蜀大侠复合调味粉100g*90,3
2022/7/19,阿坝州阿坝县藏家一号店,蜀大侠牛油火锅底料1.75kg*10(大红锅流通版),10
2022/7/19,阿坝州阿坝县藏家一号店,蜀大侠牛油火锅底料1.9kg*10（大红锅升级版2.0）,2
2022/7/19,阿坝州阿坝县藏家一号店,蜀大侠侠客打锅牛油80*108,3
2022/7/19,阿坝州阿坝县藏家一号店,蜀大侠火锅伴侣牛油100g*120,3
2022/7/19,阿坝州阿坝县藏家一号店,蜀大侠牛油火锅底料1.4kg*14(锅中锅流通版),10
2022/7/19,阿坝州阿坝县藏家一号店,蜀大侠复合调味粉120g*75,2
2022/7/19,阿坝州阿坝县藏家一号店,天味中式香肠85g*50,1
2022/7/19,阿坝州阿坝县藏家一号店,笋胡子泉水笋片1kg*10,3
2022/7/19,阿坝州阿坝县藏家一号店,藤椒油,1
2022/7/19,阿坝州阿坝县藏家一号店,蜀大侠番茄汤膏200g*50,3
2022/7/19,阿坝州阿坝县藏家一号店,探川毛肚腌制调味料2.5kg,1
2022/7/19,阿坝州阿坝县藏家一号店,自然馋火锅川粉180g*50,6
2022/7/19,阿坝州阿坝县藏家一号店,自然馋黑土猪火锅午餐肉340g*24,6
2022/7/25,阿坝州阿坝县藏家一号店,外卖封条34cm*9cm,1
2022/7/25,阿坝州阿坝县藏家一号店,蜀大侠牛油火锅底料1.9kg*10（大红锅升级版2.0）,3
2022/7/25,阿坝州阿坝县藏家一号店,蜀大侠侠客打锅牛油80*108,2
2022/7/25,阿坝州阿坝县藏家一号店,蜀大侠牛油火锅底料1.4kg*14(锅中锅流通版),15
2022/7/25,阿坝州阿坝县藏家一号店,蜀大侠菌汤膏100g*100,1
2022/7/25,阿坝州阿坝县藏家一号店,蜀大侠番茄汤膏200g*50,1
2022/7/25,阿坝州阿坝县藏家一号店,蜀大侠食用植物调和油65ml*200,10
2022/7/25,阿坝州阿坝县藏家一号店,自然馋麻辣排骨1.2kg*8,2
2022/7/25,阿坝州阿坝县藏家一号店,蜀大侠复合调味粉100g*90,1
2022/7/25,阿坝州阿坝县藏家一号店,自然馋甄选脆毛肚1kg*10,3
2022/7/25,阿坝州阿坝县藏家一号店,蜀大侠牛油火锅底料1.75kg*10(大红锅流通版),10
2022/7/25,阿坝州阿坝县藏家一号店,八奇牛麻辣牛肉1.2kg*10,1
2022/7/25,阿坝州阿坝县藏家一号店,蜀大侠火锅伴侣牛油100g*120,1
2022/7/25,阿坝州阿坝县藏家一号店,自然馋严选千层肚1kg*10,1
2022/7/25,阿坝州阿坝县藏家一号店,火锅虾仁蛋饺120g*24,2
2022/7/26,阿坝州阿坝县藏家一号店,自然馋严选千层肚1kg*10,4
2022/7/20,巴中平昌店,八奇牛青花椒味火锅牛排1kg*12,1
2022/7/20,巴中平昌店,蜀大侠牛油火锅底料1.75kg*10(大红锅流通版),5
2022/7/20,巴中平昌店,蜀大侠复合调味粉40g*225,2
2022/7/20,巴中平昌店,蜀大侠牛油火锅底料1.4kg*14(锅中锅流通版),15
2022/7/20,巴中平昌店,蜀大侠复合调味粉120g*75,2
2022/7/20,巴中平昌店,蜀大侠复合调味粉100g*90,2
2022/7/20,巴中平昌店,自然馋麻辣小郡肝1kg*12(蓝标),1
2022/7/23,巴中平昌店,蜀大侠侠客打锅牛油50g*132,1
2022/7/23,巴中平昌店,蜀大侠侠客打锅牛油50g*132,1
2022/7/23,巴中平昌店,蜀大侠侠客打锅牛油80*108,2
2022/4/15,蔡访金（重庆大足）,蜀大侠手工底料320g*20,1
2022/4/15,蔡访金（重庆大足）,自然馋黑土猪火锅午餐肉340g*24,1
2022/4/15,蔡访金（重庆大足）,牛奶鸭血300g*20,3
2022/4/15,蔡访金（重庆大足）,蜀大侠手工底料420g*20,1
2022/4/15,蔡访金（重庆大足）,肥牛包装盒UT16-11A（400套）,1
2022/4/15,蔡访金（重庆大足）,自然馋火锅笋条300g*30,1
2022/5/9,蔡访金（重庆大足）,火锅虾仁蛋饺120g*24,1
2022/5/9,蔡访金（重庆大足）,自然馋麻辣牛肉150g*60,1
2022/5/9,蔡访金（重庆大足）,美好香菜猪肉丸150g*30,1
2022/5/9,蔡访金（重庆大足）,自然馋嫩滑牛肉150g*60,1
2022/5/9,蔡访金（重庆大足）,爆爆滑虾滑150g*30,1
2022/5/19,草堂店（直营店）,自然馋严选千层肚1kg*10,2
2022/5/19,草堂店（直营店）,黄天鹅高品质鸡蛋30个,1
2022/5/19,草堂店（直营店）,蜀大侠牛油火锅底料1.9kg*9(大红锅升级版),5
2022/5/19,草堂店（直营店）,八奇牛麻辣牛肉1.2kg*10,1
2022/5/19,草堂店（直营店）,天味中式香肠85g*50,1
2022/5/19,草堂店（直营店）,原切大侠雪花肥牛20kg,1
2022/5/19,草堂店（直营店）,八奇牛青花椒味火锅牛排1kg*12,1
2022/5/19,草堂店（直营店）,泉润脱骨鸭掌2kg*6,1
2022/5/19,草堂店（直营店）,自然馋麻辣排骨1.2kg*8,2
2022/5/19,草堂店（直营店）,八奇牛嫩牛肉1.2kg*10,1
2022/5/19,草堂店（直营店）,胶手套(统采),2
2022/5/19,草堂店（直营店）,自然馋*美好川味小酥肉1kg*10,1
2022/5/19,草堂店（直营店）,爆爆滑大颗粒虾滑1kg*12(鲜美来),1
2022/5/20,草堂店（直营店）,自然馋*美好川味小酥肉1kg*10,2
2022/5/20,草堂店（直营店）,爆爆滑大颗粒虾滑1kg*12(鲜美来),3
2022/5/20,草堂店（直营店）,八奇牛麻辣牛肉1.2kg*10,2
2022/5/20,草堂店（直营店）,自然馋土豆宽粉180g*50,1
2022/5/20,草堂店（直营店）,模拟蟹柳500g*20,2
2022/5/20,草堂店（直营店）,千喜鹤猪脑花(96个),1
2022/5/20,草堂店（直营店）,深海小海带海带苗10kg,1
2022/5/20,草堂店（直营店）,八奇牛蓝标肥牛3.575*7,2
2022/5/20,草堂店（直营店）,自然馋嫩滑猪肝(椒麻味)1kg*10,1
2022/5/20,草堂店（直营店）,蜀大侠辣椒面2.5kg*6,1
2022/5/20,草堂店（直营店）,爆爆滑黑虎虾滑500g*20,1
2022/5/20,草堂店（直营店）,自然馋贡菜5kg,2
2022/5/20,草堂店（直营店）,滑蛋和牛北极雪3.572kg*7,1
2022/5/20,草堂店（直营店）,自然馋土豆宽粉180g*50,1
2022/5/20,草堂店（直营店）,自然馋严选千层肚1kg*10,1
2022/5/20,草堂店（直营店）,爆爆滑黑虎虾滑500g*20,1
2022/5/20,草堂店（直营店）,自然馋贡菜5kg,2
2022/5/20,草堂店（直营店）,模拟蟹柳500g*20,2
2022/5/20,草堂店（直营店）,八奇牛蓝标肥牛3.575*7,2
2022/5/20,草堂店（直营店）,自然馋手工糍粑280g*20,1
2022/5/20,草堂店（直营店）,自然馋麻辣排骨1.2kg*8,1
2022/5/20,草堂店（直营店）,海霸王虾味饺100g*30,2
2022/5/20,草堂店（直营店）,爆爆滑大颗粒虾滑1kg*12(鲜美来),3
2022/5/20,草堂店（直营店）,自然馋嫩滑猪肝(椒麻味)1kg*10,1
2022/5/20,草堂店（直营店）,大侠贡菜肉滑1kg*10,1
2022/5/20,草堂店（直营店）,深海小海带海带苗10kg,1
2022/5/20,草堂店（直营店）,自然馋*美好川味小酥肉1kg*10,2
2022/5/20,草堂店（直营店）,八奇牛麻辣牛肉1.2kg*10,3
2022/5/19,草堂店（直营店）,蜀大侠牛油火锅底料1.9kg*10（大红锅升级版微辣2.0）,2
2022/5/21,草堂店（直营店）,白色花边纸(统采),2
2022/5/21,草堂店（直营店）,蜀大侠无糖薄荷糖2.5kg(陈皮味),3
2022/5/21,草堂店（直营店）,长拖把112cm*37cm(统采),2
2022/5/21,草堂店（直营店）,塑料小吸管25cm-4800支(统采),1
2022/5/21,草堂店（直营店）,蜀大侠牛油无渣火锅底料1.75kg*9(升级版),1
2022/5/21,草堂店（直营店）,蜀大侠牛油火锅底料1kg*14(太极锅升级版),10
2022/5/21,草堂店（直营店）,探川椒麻包95g*100,1
2022/5/21,草堂店（直营店）,小枣1.5kg,1
2022/5/21,草堂店（直营店）,探川椒麻包110g*100,1
2022/5/21,草堂店（直营店）,大号吸水拖把(统采),2
2022/5/21,草堂店（直营店）,垃圾袋1.2m*1.4m-500个(统采),1
2022/5/21,草堂店（直营店）,蜀大侠菌汤膏135g*74,1
2022/5/21,草堂店（直营店）,蜀大侠牛油火锅底料1.65kg*10(中锅升级版),3
2022/5/21,草堂店（直营店）,蜀大侠牛油火锅底料1.9kg*10（大红锅升级版微辣2.0）,2
2022/5/21,草堂店（直营店）,蜀大侠侠客打锅牛油50g*132,2
2022/5/21,草堂店（直营店）,美好火腿肠170g*30,1
2022/5/21,草堂店（直营店）,探川椒麻包26g*200,1
2022/5/21,草堂店（直营店）,蜀大侠侠客打锅牛油100g*96,1
2022/5/21,草堂店（直营店）,笋胡子清水笋片1kg*10,2
2022/5/21,草堂店（直营店）,自然馋火锅川粉180g*50,2
2022/5/21,草堂店（直营店）,蜀大侠牛油火锅底料1.9kg*9(大红锅升级版),5
2022/5/21,草堂店（直营店）,自然馋黑土猪火锅午餐肉340g*24,1
2022/5/21,草堂店（直营店）,自然馋土豆宽粉180g*50,2
2022/5/21,草堂店（直营店）,自然馋牛奶鸭血300g*20,6
2022/5/21,草堂店（直营店）,元宝大豆油10L*2,2
2022/5/21,草堂店（直营店）,前厅金剪刀26.5cm(统采),2
2022/5/21,草堂店（直营店）,红色剪刀(统采),3
2022/5/24,草堂店（直营店）,自然馋黑鱼片500g*20,1
2022/5/24,草堂店（直营店）,蜀大侠食用植物调和油65ml*200,5
2022/5/24,草堂店（直营店）,中光免洗手消毒凝胶500ml(统采),1
2022/5/24,草堂店（直营店）,灭蝇纸-10张(统采),2
2022/5/24,草堂店（直营店）,蜀大侠盒装纸巾(250盒),2
2022/5/24,草堂店（直营店）,自然馋标品牛肉(签签牛肉)1.2kg*8,1
2022/5/24,草堂店（直营店）,350ml美式圆形打包盒-300个(统采),2
2022/5/24,草堂店（直营店）,滑蛋和牛北极雪3.572kg*7,1
2022/5/24,草堂店（直营店）,蜀大侠辣椒面2.5kg*6,1
2022/5/24,草堂店（直营店）,自然馋麻辣小郡肝1kg*12(蓝标),1
2022/5/24,草堂店（直营店）,蜀大侠小火锅外卖圆碗300ml-600套,2
2022/5/24,草堂店（直营店）,爆爆滑虾肉卷1kg*10,1
2022/5/24,草堂店（直营店）,珍宝大卷纸,1
2022/5/24,草堂店（直营店）,爆爆滑海鸭蛋虾滑160g*36(鲜美来),1
2022/5/24,草堂店（直营店）,八奇牛麻辣牛肉1.2kg*10,1
2022/5/24,草堂店（直营店）,千喜鹤猪脑花(96个),1
2022/5/24,草堂店（直营店）,全木浆擦手纸(168-170mm)-24包,1
2022/5/24,草堂店（直营店）,自然馋手工糍粑280g*20,1
2022/5/24,草堂店（直营店）,750ml方形打包盒-300个(统采),2
2022/5/24,草堂店（直营店）,黄天鹅高品质鸡蛋30个,1
2022/5/24,草堂店（直营店）,八奇牛嫩牛肉1.2kg*10,2
2022/5/24,草堂店（直营店）,自然馋*美好川味小酥肉1kg*10,2
2022/5/26,草堂店（直营店）,小枣1.5kg,1
2022/5/26,草堂店（直营店）,海霸王虾味饺100g*30,2
2022/5/26,草堂店（直营店）,醪糟606g*12,1
2022/5/26,草堂店（直营店）,自然馋严选千层肚1kg*10,2
2022/5/26,草堂店（直营店）,探川花生碎1kg*15,1
2022/5/26,草堂店（直营店）,八奇牛蓝标肥牛3.572*7,1
2022/5/26,草堂店（直营店）,峰仔白色恋人330g*14,1
2022/5/26,草堂店（直营店）,自然馋贡菜5kg,2
2022/5/26,草堂店（直营店）,蜀大侠侠客打锅牛油50g*132,1
2022/5/26,草堂店（直营店）,自然馋大刀腰片(蓝标)500g*20,1
2022/5/26,草堂店（直营店）,一次性独立包装火锅筷32cm-1400双,2
2022/5/26,草堂店（直营店）,元宝牌特选长粒香25kg,2
2022/5/26,草堂店（直营店）,蜀大侠番茄汤膏300g*50(漫味龙),2
2022/5/26,草堂店（直营店）,香辣脆椒1kg*15,1
2022/5/26,草堂店（直营店）,模拟蟹柳500g*20,3
2022/5/28,草堂店（直营店）,花千骨专用红油,1
2022/5/28,草堂店（直营店）,蜀大侠牛油火锅底料1kg*14(太极锅升级版),10
2022/5/28,草堂店（直营店）,自然馋*美好川味小酥肉1kg*10,3
2022/5/28,草堂店（直营店）,不锈钢调味瓶500ml(统采),10
2022/5/28,草堂店（直营店）,自然馋黑土猪火锅午餐肉340g*24,2
2022/5/28,草堂店（直营店）,蜀大侠复合调味粉120g*75(升级版),2
2022/5/28,草堂店（直营店）,蜀大侠火锅菜底料1kg*20,2
2022/5/28,草堂店（直营店）,蜀大侠牛油火锅底料1kg*14(太极锅升级版),10
2022/5/28,草堂店（直营店）,千禾陈醋5L*2,2
2022/5/28,草堂店（直营店）,千禾鲜蚝油6kg*2,2
2022/5/28,草堂店（直营店）,自然馋土豆宽粉180g*50,3
2022/5/28,草堂店（直营店）,自然馋*美好川味小酥肉1kg*10,2
2022/5/28,草堂店（直营店）,蜀大侠火锅菜红油1kg*20,1
2022/5/28,草堂店（直营店）,模拟蟹柳500g*20,2
2022/5/28,草堂店（直营店）,自然馋火锅川粉180g*50,2
2022/5/28,草堂店（直营店）,自然馋大刀腰片(蓝标)500g*20,2
2022/5/28,草堂店（直营店）,蜀大侠复合调味粉100g*90(升级版),3
2022/5/28,草堂店（直营店）,自然馋黑鱼片500g*20,1
2022/5/28,草堂店（直营店）,深海小海带海带苗10kg,2
2022/5/28,草堂店（直营店）,八奇牛蓝标肥牛3.572*7,1
2022/5/28,草堂店（直营店）,蜀大侠菌汤膏135g*74,2
2022/5/28,草堂店（直营店）,自然馋大颗粒虾滑1kg*12,3
2022/5/28,草堂店（直营店）,醪糟606g*12,2
2022/5/28,草堂店（直营店）,大侠贡菜肉滑1kg*10,1
2022/5/28,草堂店（直营店）,美好火腿肠170g*30,2
2022/5/28,草堂店（直营店）,蜀大侠食用植物调和油65ml*200,4
2022/6/1,草堂店（直营店）,蜀大侠牛油火锅底料1kg*14(太极锅升级版),10
2022/6/1,草堂店（直营店）,自然馋麻辣排骨1.2kg*8,2
2022/6/1,草堂店（直营店）,八奇牛麻辣牛肉1.2kg*10,3
2022/6/1,草堂店（直营店）,八奇牛蓝标肥牛3.572*7,1
2022/6/1,草堂店（直营店）,八奇牛开心五香麻辣牛肉粒1.2kg*10,1
2022/6/1,草堂店（直营店）,爆爆滑大颗粒虾滑1kg*12(鲜美来),2
2022/6/1,草堂店（直营店）,模拟蟹柳500g*20,2
2022/6/1,草堂店（直营店）,自然馋*美好川味小酥肉1kg*10,2
2022/6/1,草堂店（直营店）,原切大侠雪花肥牛20kg,1
2022/6/1,草堂店（直营店）,自然馋土豆宽粉180g*50,3
2022/6/1,草堂店（直营店）,深海小海带海带苗10kg,1
2022/6/2,草堂店（直营店）,蜀大侠番茄汤膏300g*50(漫味龙),2
2022/6/2,草堂店（直营店）,蜀大侠无糖薄荷糖2.5kg(陈皮味),2
2022/6/2,草堂店（直营店）,自然馋香辣蘸料500g*20,1
2022/6/2,草堂店（直营店）,蜀大侠复合调味粉40g*225(升级版),1
2022/6/2,草堂店（直营店）,蜀大侠食用植物调和油65ml*200,4
2022/6/2,草堂店（直营店）,蜀大侠侠客打锅牛油50g*132,1
