时间,店名,产品,个数
2022/7/3,中坝店（直营店）,小铁勺12cm(统采),100
2022/6/4,中坝店（直营店）,小铁勺12cm(统采),50
2022/5/31,中坝店（直营店）,小铁勺12cm(统采),50
2022/7/25,中海国际店（直营店）,蜀大侠定制打火机(统采),100
2022/7/18,中海国际店（直营店）,医用口罩-10个(统采),50
2022/7/3,中海国际店（直营店）,医用口罩-10个(统采),50
2022/4/18,余丽萍（双流福通路店）,自然馋火锅笋片300g*30,2
2022/5/20,余丽萍（双流福通路店）,爆爆滑虾滑150g*30,2
2022/5/20,余丽萍（双流福通路店）,土灶头包浆豆腐180g*30,2
2022/7/25,内江威远店,蜀大侠牛油火锅底料900g*20(太极锅流通版),5
2022/7/25,内江威远店,蜀大侠牛油火锅底料1.75kg*10(大红锅流通版),5
2022/7/19,内江资中店,蜀大侠牛油火锅底料1.75kg*10(大红锅流通版),15
2022/7/19,内江资中店,蜀大侠牛油火锅底料1.4kg*14(锅中锅流通版),10
2022/7/19,内江资中店,八奇牛嫩牛肉1.2kg*10,3
2022/5/23,刘丹（温江区林泉北街店）,自然馋牛奶鸭血300g*20,3
2022/5/23,刘丹（温江区林泉北街店）,自然馋火锅笋条300g*30,2
2022/5/23,刘丹（温江区林泉北街店）,自然馋火锅笋片300g*30,2
2022/7/12,刘青（云南德宏陇川店）,美好开花脆皮肠180g*20,2
2022/7/12,刘青（云南德宏陇川店）,美好椒麻酥肉400g*10,2
2022/7/12,刘青（云南德宏陇川店）,自然馋牛奶鸭血300g*20,2
2022/7/20,南充营山店,蜀大侠食用植物调和油65ml*200,15
2022/7/15,南充营山店,蜀大侠复合调味粉120g*75,10
2022/7/15,南充营山店,蜀大侠番茄汤膏200g*50,2
2022/7/21,南充顺庆泰合青年店,蜀大侠牛油火锅底料1.4kg*14(锅中锅流通版),20
2022/7/21,南充顺庆泰合青年店,蜀大侠牛油火锅底料1.75kg*10(大红锅流通版),10
2022/7/21,南充顺庆泰合青年店,蜀大侠复合调味粉100g*90,8
2022/7/20,四川乐山犍为店,爆爆滑海鸭蛋虾滑160g*36,5
2022/7/20,四川乐山犍为店,火锅虾仁蛋饺120g*24,2
2022/7/20,四川乐山犍为店,八奇牛上上签牛肉条1.2kg*8,1
2022/7/14,四川凉山会东县鲹鱼半岛店,爆爆滑海鸭蛋虾滑160g*36,3
2022/7/14,四川凉山会东县鲹鱼半岛店,12寸圆盘(12平浅)-密胺,2
2022/7/21,四川凉山西昌冕宁店,蜀大侠牛油火锅底料1.4kg*14(锅中锅流通版),40
2022/7/21,四川凉山西昌冕宁店,蜀大侠牛油火锅底料1.75kg*10(大红锅流通版),30
2022/7/21,四川凉山西昌冕宁店,蜀大侠食用植物调和油65ml*200,25
2022/7/26,四川峨眉山店,蜀大侠牛油火锅底料1.75kg*10(大红锅流通版),55
2022/7/26,四川峨眉山店,蜀大侠牛油火锅底料1.4kg*14(锅中锅流通版),40
2022/7/12,四川峨眉山店,蜀大侠牛油火锅底料1.4kg*14(锅中锅流通版),30
2022/7/13,四川崇州宫保里店,蜀大侠牛油火锅底料1.75kg*10(大红锅流通版),20
2022/7/13,四川崇州宫保里店,蜀大侠牛油火锅底料900g*20(太极锅流通版),10
2022/7/13,四川崇州宫保里店,蜀大侠牛油火锅底料1.4kg*14(锅中锅流通版),4
2022/4/20,四川甘孜白玉县（其麦降措）,自然馋手工糍粑280g*20,4
2022/4/20,四川甘孜白玉县（其麦降措）,海霸王虾味饺100g*30,4
2022/5/22,四川甘孜白玉县（其麦降措）,自然馋牛奶鸭血300g*20,3
2022/7/18,四川甘孜藏族自治州得荣县店,蜀大侠牛油火锅底料1.75kg*10(大红锅流通版),6
2022/7/18,四川甘孜藏族自治州得荣县店,蜀大侠牛油火锅底料900g*20(太极锅流通版),5
2022/7/18,四川甘孜藏族自治州得荣县店,蜀大侠侠客打锅牛油50g*132,3
2022/7/20,四川省新津店,蜀大侠牛油火锅底料1.75kg*10(大红锅流通版),30
2022/7/18,四川省新津店,蜀大侠牛油火锅底料1.75kg*10(大红锅流通版),24
2022/7/18,四川省新津店,蜀大侠菌汤膏125g*80,7
2022/7/19,四川省甘孜州巴塘县夏邛镇店,蜀大侠牛油无渣火锅底料,25
2022/7/24,四川省甘孜州巴塘县夏邛镇店,自然馋*美好川味小酥肉1kg*10,10
2022/7/19,四川省甘孜州巴塘县夏邛镇店,自然馋牛奶鸭血300g*20,10
2022/7/26,四川省自贡市富顺店,蜀大侠牛油火锅底料,15
2022/7/26,四川省自贡市富顺店,蜀大侠牛油无渣火锅底料,10
2022/7/26,四川省自贡市富顺店,蜀大侠菌汤膏100g*100,5
2022/7/27,四川省资阳安岳店,蜀大侠牛油火锅底料1.75kg*10(大红锅流通版),30
2022/7/23,四川省资阳安岳店,蜀大侠牛油火锅底料1.4kg*14(锅中锅流通版),20
2022/7/27,四川省资阳安岳店,蜀大侠牛油火锅底料1.4kg*14(锅中锅流通版),20
2022/6/13,四川省资阳市乐至店,蜀大侠牛油火锅底料1.75kg*10(大红锅流通版),12
2022/6/26,四川省资阳市乐至店,蜀大侠牛油火锅底料1.75kg*10(大红锅流通版),10
2022/7/11,四川省资阳市乐至店,蜀大侠牛油火锅底料900g*20(太极锅流通版),10
2022/7/17,四川省达州市宣汉县东乡镇宏帆巴人广场店,蔬菜碟(3.0),40
2022/7/17,四川省达州市宣汉县东乡镇宏帆巴人广场店,飞碟盘,40
2022/7/17,四川省达州市宣汉县东乡镇宏帆巴人广场店,密胺展架23cm*20cm,10
2022/7/22,四川阿坝州马尔康市嘉绒文化美食街店,蜀大侠牛油火锅底料1.4kg*14(锅中锅流通版),20
2022/7/22,四川阿坝州马尔康市嘉绒文化美食街店,蜀大侠牛油火锅底料1.75kg*10(大红锅流通版),15
2022/7/22,四川阿坝州马尔康市嘉绒文化美食街店,蜀大侠复合调味粉120g*75,5
2022/5/9,孙宏勇（内蒙古额尔古纳市店）,自然馋火锅笋条300g*30,5
2022/5/9,孙宏勇（内蒙古额尔古纳市店）,自然馋火锅川粉180g*50,4
2022/5/9,孙宏勇（内蒙古额尔古纳市店）,自然馋火锅川粉180g*50,4
2022/7/25,宜宾南溪店,蜀大侠牛油火锅底料1.4kg*14(锅中锅流通版),60
2022/7/25,宜宾南溪店,蜀大侠食用植物调和油65ml*200,15
2022/7/25,宜宾南溪店,蜀大侠复合调味粉120g*75,6
2022/7/20,巴中平昌店,蜀大侠牛油火锅底料1.4kg*14(锅中锅流通版),15
2022/7/20,巴中平昌店,蜀大侠牛油火锅底料1.75kg*10(大红锅流通版),5
2022/7/20,巴中平昌店,蜀大侠复合调味粉40g*225,2
2022/7/25,广元苍溪店,蜀大侠牛油火锅底料1.4kg*14(锅中锅流通版),20
2022/7/25,广元苍溪店,蜀大侠复合调味粉100g*90,15
2022/7/22,广元苍溪店,蜀大侠牛油火锅底料1.4kg*14(锅中锅流通版),10
2022/7/24,广汉市锦弘广场店,蜀大侠牛油火锅底料1.75kg*10(大红锅流通版),6
2022/7/24,广汉市锦弘广场店,蜀大侠食用植物调和油65ml*200,3
2022/7/18,广汉市锦弘广场店,蜀大侠牛油火锅底料1.75kg*10(大红锅流通版),3
2022/6/10,张娜母/李爱娇（云南省德宏州瑞丽）,自然馋牛奶鸭血300g*20,5
2022/5/6,张娜母/李爱娇（云南省德宏州瑞丽）,自然馋牛奶鸭血300g*20,4
2022/6/10,张娜母/李爱娇（云南省德宏州瑞丽）,爆爆滑虾滑150g*30,4
2022/7/27,成华区侠客行火锅（动物园直营店）,锅垫,450
2022/7/27,成华区侠客行火锅（动物园直营店）,桌布,450
2022/7/20,成华区侠客行火锅（动物园直营店）,桌布,200
2022/7/18,成华区铁翅砂锅居店（建设路直营店）,医用口罩-10个(统采),100
2022/7/6,成华区铁翅砂锅居店（建设路直营店）,医用口罩-10个(统采),60
2022/7/14,成华区铁翅砂锅居店（建设路直营店）,蜀大侠定制沙漏(12分钟),32
2022/6/2,新都雄飞店,蜀大侠定制打火机(统采),100
2022/6/4,新都雄飞店,摩托罗拉对讲机耳机(统采),30
2022/6/2,新都雄飞店,蜀大侠牛油火锅底料1.9kg*9(大红锅升级版),20
2022/7/3,新都雄飞店（新都直营店）,牙刷套装(统采),500
2022/7/13,新都雄飞店（新都直营店）,牙刷套装(统采),500
2022/7/3,新都雄飞店（新都直营店）,蜀大侠定制打火机(统采),200
2022/5/16,梅文译(云南昆明东川区),自然馋牛奶鸭血300g*20,8
2022/6/13,梅文译(云南昆明东川区),生扣鸭肠(液氮速冻)400g*24,2
2022/6/13,梅文译(云南昆明东川区),深海八爪鱼3.5kg,2
2022/6/13,武侯区蜀大侠火锅店（少陵路直营店）,火柴,100
2022/6/12,武侯区蜀大侠火锅店（少陵路直营店）,蜀大侠牛油火锅底料1kg*14(太极锅升级版),40
2022/6/30,武侯区蜀大侠火锅店（少陵路直营店）,泡腾含氯消毒片(统采),30
2022/6/28,温江店,蜀大侠牛油火锅底料1.65kg*12（中锅升级版2.0）,120
2022/7/12,温江店,蜀大侠牛油火锅底料1.65kg*12（中锅升级版2.0）,120
2022/6/14,温江店,蜀大侠牛油火锅底料1.65kg*10(中锅升级版),100
2022/4/25,牡丹街店,雪花纯生瓶装（500ml*12）,55
2022/5/9,牡丹街店,雪花纯生瓶装（500ml*12）,50
2022/4/29,牡丹街店,雪花纯生瓶装（500ml*12）,50
2022/6/17,王习骄/尹秋萍（云南香格里拉东旺路店）,美好椒麻酥肉400g*10,3
2022/7/4,王习骄/尹秋萍（云南香格里拉东旺路店）,美好椒麻酥肉400g*10,3
2022/7/4,王习骄/尹秋萍（云南香格里拉东旺路店）,自然馋牛奶鸭血300g*20,3
2022/7/22,甘孜乡城店,自然馋牛奶鸭血300g*20,10
